Time,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-38-0f-66,00-17-0d-00-00-3f-f8-20,00-17-0d-00-00-3f-fe-87,00-17-0d-00-00-3f-fe-88
2016-09-11T00:50:00.000Z,14.5521052632,17.6894736842,15.0873684211,18.2473684211,17.7005
2016-09-11T01:00:00.000Z,14.2495,17.2621052632,14.8035,17.782,17.2736842105
2016-09-11T01:10:00.000Z,14.1773684211,16.816,14.8842105263,17.6263157895,16.8555
2016-09-11T01:20:00.000Z,13.7810526316,16.7035,14.4155555556,17.5672222222,16.938
2016-09-11T01:30:00.000Z,13.7173684211,16.7378947368,14.2894736842,17.4455,16.6405263158
2016-09-11T01:40:00.000Z,13.4821052632,16.3173684211,14.0255,16.9847368421,16.4363157895
2016-09-11T01:50:00.000Z,13.2357894737,16.1573684211,13.738,16.642,16.1447368421
2016-09-11T02:00:00.000Z,13.1715789474,16.1725,13.8173684211,16.7705263158,16.1131578947
2016-09-11T02:10:00.000Z,13.2357894737,16.1172222222,13.6855,16.5868421053,16.0805
2016-09-11T02:20:00.000Z,13.0625,16.0272222222,13.5675,16.5215789474,16.0068421053
2016-09-11T02:30:00.000Z,12.4542105263,15.3995,13.0231578947,15.9531578947,15.561
2016-09-11T02:40:00.000Z,11.6257894737,14.911,12.2263157895,15.339,15.2910526316
2016-09-11T02:50:00.000Z,11.6745,14.9105,11.778,15.3873684211,15.2157894737
2016-09-11T03:00:00.000Z,11.7557894737,14.9157894737,11.6084210526,15.2811111111,15.0435
2016-09-11T03:10:00.000Z,11.349,14.3368421053,11.427,14.9615,14.5189473684
2016-09-11T03:20:00.000Z,10.6205263158,13.8545,10.8605263158,14.4442105263,13.792
2016-09-11T03:30:00.000Z,10.3747368421,13.7594736842,10.9605263158,14.169,13.6205263158
2016-09-11T03:40:00.000Z,11.1055,13.9842105263,11.6295,14.5078947368,14.2631578947
2016-09-11T03:50:00.000Z,11.4261111111,14.6975,12.0236842105,15.0342105263,14.85
2016-09-11T04:00:00.000Z,11.553,14.8305263158,11.9485,15.288,14.7663157895
2016-09-11T04:10:00.000Z,11.1231578947,14.342,11.5978947368,14.9789473684,14.372
2016-09-11T04:20:00.000Z,11.2385,14.688,11.9673684211,15.013,14.5078947368
2016-09-11T04:30:00.000Z,11.309,14.7985,11.8855,15.1455,14.5415789474
2016-09-11T04:40:00.000Z,10.8568421053,14.2736842105,11.3173684211,14.8078947368,14.1385
2016-09-11T04:50:00.000Z,10.3642105263,13.9355,10.7921052632,14.362,13.8342105263
2016-09-11T05:00:00.000Z,10.231,13.6205263158,10.7275,14.1347368421,13.5036842105
2016-09-11T05:10:00.000Z,10.1289473684,13.721,10.9273684211,13.9752631579,13.6305263158
2016-09-11T05:20:00.000Z,10.0431578947,13.8133333333,10.9710526316,13.9765,13.641
2016-09-11T05:30:00.000Z,10.3094736842,13.8131578947,11.1157894737,14.079,13.9310526316
2016-09-11T05:40:00.000Z,10.414,13.8247368421,11.298,14.1242105263,14.0594736842
2016-09-11T05:50:00.000Z,10.2784210526,13.773,11.2842105263,14.0489473684,14.058
2016-09-11T06:00:00.000Z,10.353,13.9105263158,11.15,14.0175,13.8557894737
2016-09-11T06:10:00.000Z,10.2773684211,13.905,11.1395,14.0855555556,13.8745
2016-09-11T06:20:00.000Z,10.099,13.6426315789,10.949,14.008,13.6410526316
2016-09-11T06:30:00.000Z,10.0385,13.4875,10.95,13.7910526316,13.6852631579
2016-09-11T06:40:00.000Z,10.1178947368,13.5136842105,10.8384210526,13.8031578947,13.6705
2016-09-11T06:50:00.000Z,10.099,13.3868421053,10.918,13.722,13.6731578947
2016-09-11T07:00:00.000Z,9.9584210526,13.275,10.8373684211,13.641,13.5605
2016-09-11T07:10:00.000Z,9.7,13.1168421053,10.5568421053,13.458,13.3531578947
2016-09-11T07:20:00.000Z,9.5795,12.9895,10.2675,13.1815789474,13.0957894737
2016-09-11T07:30:00.000Z,9.3052631579,12.736,10.0857894737,13.0747368421,12.929
2016-09-11T07:40:00.000Z,9.215,12.5278947368,9.99,12.9595,12.8610526316
2016-09-11T07:50:00.000Z,8.9936842105,12.409,9.7710526316,12.6242105263,12.6142105263
2016-09-11T08:00:00.000Z,8.6410526316,12.0483333333,9.425,12.275,12.2545
2016-09-11T08:10:00.000Z,8.2975,11.6589473684,9.095,12,11.9042105263
2016-09-11T08:20:00.000Z,7.9952631579,11.3095,8.6515789474,11.7457894737,11.4815
2016-09-11T08:30:00.000Z,7.7785,11.1347368421,8.3395,11.6355,11.2842105263
2016-09-11T08:40:00.000Z,7.6205263158,11.167,8.3710526316,11.492,11.29
2016-09-11T08:50:00.000Z,7.6005263158,11.1768421053,8.345,11.3195,11.2731578947
2016-09-11T09:00:00.000Z,7.1685,10.6105263158,7.5295,11.08,10.6165
